date,day_of_week,service_name,environment,team,compute_cost_usd,database_cost_usd,storage_cost_usd,network_cost_usd,total_daily_cost_usd,loan_applications_processed
2026-09-03,Fri,loan-application-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-03,Fri,underwriting-engine,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,underwriting-engine,staging,risk-scoring,50.88,31.5,16.96,21.81,121.15,0
2026-09-03,Fri,underwriting-engine,dev,risk-scoring,38.16,23.62,12.72,16.36,90.86,0
2026-09-03,Fri,credit-bureau-connector,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,kyc-document-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,kyc-document-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-03,Fri,kyc-document-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-03,Fri,payment-gateway-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,disbursement-engine,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,disbursement-engine,staging,payments,50.88,31.5,16.96,21.81,121.15,0
2026-09-03,Fri,collections-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,ledger-accounting-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,analytics-batch-pipeline,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,feature-store-ml,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,notification-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,auth-identity-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-03,Fri,api-gateway-mesh,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-04,Sat,loan-application-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,14733
2026-09-04,Sat,loan-application-service,staging,lending-core,43.25,26.78,14.42,18.54,102.99,0
2026-09-04,Sat,loan-application-service,dev,lending-core,32.44,20.08,10.81,13.9,77.23,0
2026-09-04,Sat,underwriting-engine,prod,risk-scoring,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,underwriting-engine,staging,risk-scoring,43.25,26.78,14.42,18.54,102.99,0
2026-09-04,Sat,underwriting-engine,dev,risk-scoring,32.44,20.08,10.81,13.9,77.23,0
2026-09-04,Sat,credit-bureau-connector,prod,risk-scoring,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,kyc-document-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,kyc-document-service,staging,lending-core,43.25,26.78,14.42,18.54,102.99,0
2026-09-04,Sat,kyc-document-service,dev,lending-core,32.44,20.08,10.81,13.9,77.23,0
2026-09-04,Sat,payment-gateway-service,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,disbursement-engine,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,disbursement-engine,staging,payments,43.25,26.78,14.42,18.54,102.99,0
2026-09-04,Sat,collections-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,ledger-accounting-service,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,analytics-batch-pipeline,prod,data-eng,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,feature-store-ml,prod,data-eng,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,notification-service,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,auth-identity-service,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-04,Sat,api-gateway-mesh,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,loan-application-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,14733
2026-09-05,Sun,loan-application-service,staging,lending-core,43.25,26.78,14.42,18.54,102.99,0
2026-09-05,Sun,loan-application-service,dev,lending-core,32.44,20.08,10.81,13.9,77.23,0
2026-09-05,Sun,underwriting-engine,prod,risk-scoring,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,underwriting-engine,staging,risk-scoring,43.25,26.78,14.42,18.54,102.99,0
2026-09-05,Sun,underwriting-engine,dev,risk-scoring,32.44,20.08,10.81,13.9,77.23,0
2026-09-05,Sun,credit-bureau-connector,prod,risk-scoring,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,kyc-document-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,kyc-document-service,staging,lending-core,43.25,26.78,14.42,18.54,102.99,0
2026-09-05,Sun,kyc-document-service,dev,lending-core,32.44,20.08,10.81,13.9,77.23,0
2026-09-05,Sun,payment-gateway-service,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,disbursement-engine,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,disbursement-engine,staging,payments,43.25,26.78,14.42,18.54,102.99,0
2026-09-05,Sun,collections-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,ledger-accounting-service,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,analytics-batch-pipeline,prod,data-eng,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,feature-store-ml,prod,data-eng,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,notification-service,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,auth-identity-service,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-05,Sun,api-gateway-mesh,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-06,Mon,loan-application-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,17333
2026-09-06,Mon,loan-application-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-06,Mon,loan-application-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-06,Mon,underwriting-engine,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,underwriting-engine,staging,risk-scoring,50.88,31.5,16.96,21.81,121.15,0
2026-09-06,Mon,underwriting-engine,dev,risk-scoring,38.16,23.62,12.72,16.36,90.86,0
2026-09-06,Mon,credit-bureau-connector,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,kyc-document-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,kyc-document-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-06,Mon,kyc-document-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-06,Mon,payment-gateway-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,disbursement-engine,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,disbursement-engine,staging,payments,50.88,31.5,16.96,21.81,121.15,0
2026-09-06,Mon,collections-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,ledger-accounting-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,analytics-batch-pipeline,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,feature-store-ml,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,notification-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,auth-identity-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-06,Mon,api-gateway-mesh,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,loan-application-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,17333
2026-09-07,Tue,loan-application-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-07,Tue,loan-application-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-07,Tue,underwriting-engine,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,underwriting-engine,staging,risk-scoring,50.88,31.5,16.96,21.81,121.15,0
2026-09-07,Tue,underwriting-engine,dev,risk-scoring,38.16,23.62,12.72,16.36,90.86,0
2026-09-07,Tue,credit-bureau-connector,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,kyc-document-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,kyc-document-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-07,Tue,kyc-document-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-07,Tue,payment-gateway-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,disbursement-engine,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,disbursement-engine,staging,payments,50.88,31.5,16.96,21.81,121.15,0
2026-09-07,Tue,collections-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,ledger-accounting-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,analytics-batch-pipeline,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,feature-store-ml,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,notification-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,auth-identity-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-07,Tue,api-gateway-mesh,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,loan-application-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,17333
2026-09-08,Wed,loan-application-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-08,Wed,loan-application-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-08,Wed,underwriting-engine,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,underwriting-engine,staging,risk-scoring,50.88,31.5,16.96,21.81,121.15,0
2026-09-08,Wed,underwriting-engine,dev,risk-scoring,38.16,23.62,12.72,16.36,90.86,0
2026-09-08,Wed,credit-bureau-connector,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,kyc-document-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,kyc-document-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-08,Wed,kyc-document-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-08,Wed,payment-gateway-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,disbursement-engine,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,disbursement-engine,staging,payments,50.88,31.5,16.96,21.81,121.15,0
2026-09-08,Wed,collections-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,ledger-accounting-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,analytics-batch-pipeline,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,feature-store-ml,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,notification-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,auth-identity-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-08,Wed,api-gateway-mesh,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,loan-application-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,17333
2026-09-09,Thu,loan-application-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-09,Thu,loan-application-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-09,Thu,underwriting-engine,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,underwriting-engine,staging,risk-scoring,50.88,31.5,16.96,21.81,121.15,0
2026-09-09,Thu,underwriting-engine,dev,risk-scoring,38.16,23.62,12.72,16.36,90.86,0
2026-09-09,Thu,credit-bureau-connector,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,kyc-document-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,kyc-document-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-09,Thu,kyc-document-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-09,Thu,payment-gateway-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,disbursement-engine,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,disbursement-engine,staging,payments,50.88,31.5,16.96,21.81,121.15,0
2026-09-09,Thu,collections-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,ledger-accounting-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,analytics-batch-pipeline,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,feature-store-ml,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,notification-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,auth-identity-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-09,Thu,api-gateway-mesh,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,loan-application-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,17333
2026-09-10,Fri,loan-application-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-10,Fri,loan-application-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-10,Fri,underwriting-engine,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,underwriting-engine,staging,risk-scoring,50.88,31.5,16.96,21.81,121.15,0
2026-09-10,Fri,underwriting-engine,dev,risk-scoring,38.16,23.62,12.72,16.36,90.86,0
2026-09-10,Fri,credit-bureau-connector,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,kyc-document-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,kyc-document-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-10,Fri,kyc-document-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-10,Fri,payment-gateway-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,disbursement-engine,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,disbursement-engine,staging,payments,50.88,31.5,16.96,21.81,121.15,0
2026-09-10,Fri,collections-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,ledger-accounting-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,analytics-batch-pipeline,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,feature-store-ml,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,notification-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,auth-identity-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-10,Fri,api-gateway-mesh,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-11,Sat,loan-application-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,14733
2026-09-11,Sat,loan-application-service,staging,lending-core,43.25,26.78,14.42,18.54,102.99,0
2026-09-11,Sat,loan-application-service,dev,lending-core,32.44,20.08,10.81,13.9,77.23,0
2026-09-11,Sat,underwriting-engine,prod,risk-scoring,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,underwriting-engine,staging,risk-scoring,43.25,26.78,14.42,18.54,102.99,0
2026-09-11,Sat,underwriting-engine,dev,risk-scoring,32.44,20.08,10.81,13.9,77.23,0
2026-09-11,Sat,credit-bureau-connector,prod,risk-scoring,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,kyc-document-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,kyc-document-service,staging,lending-core,43.25,26.78,14.42,18.54,102.99,0
2026-09-11,Sat,kyc-document-service,dev,lending-core,32.44,20.08,10.81,13.9,77.23,0
2026-09-11,Sat,payment-gateway-service,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,disbursement-engine,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,disbursement-engine,staging,payments,43.25,26.78,14.42,18.54,102.99,0
2026-09-11,Sat,collections-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,ledger-accounting-service,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,analytics-batch-pipeline,prod,data-eng,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,feature-store-ml,prod,data-eng,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,notification-service,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,auth-identity-service,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-11,Sat,api-gateway-mesh,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,loan-application-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,14733
2026-09-12,Sun,loan-application-service,staging,lending-core,43.25,26.78,14.42,18.54,102.99,0
2026-09-12,Sun,loan-application-service,dev,lending-core,32.44,20.08,10.81,13.9,77.23,0
2026-09-12,Sun,underwriting-engine,prod,risk-scoring,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,underwriting-engine,staging,risk-scoring,43.25,26.78,14.42,18.54,102.99,0
2026-09-12,Sun,underwriting-engine,dev,risk-scoring,32.44,20.08,10.81,13.9,77.23,0
2026-09-12,Sun,credit-bureau-connector,prod,risk-scoring,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,kyc-document-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,kyc-document-service,staging,lending-core,43.25,26.78,14.42,18.54,102.99,0
2026-09-12,Sun,kyc-document-service,dev,lending-core,32.44,20.08,10.81,13.9,77.23,0
2026-09-12,Sun,payment-gateway-service,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,disbursement-engine,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,disbursement-engine,staging,payments,43.25,26.78,14.42,18.54,102.99,0
2026-09-12,Sun,collections-service,prod,lending-core,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,ledger-accounting-service,prod,payments,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,analytics-batch-pipeline,prod,data-eng,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,feature-store-ml,prod,data-eng,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,notification-service,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,auth-identity-service,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-12,Sun,api-gateway-mesh,prod,platform,140.57,87.02,46.86,60.24,334.69,0
2026-09-13,Mon,loan-application-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,17333
2026-09-13,Mon,loan-application-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-13,Mon,loan-application-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-13,Mon,underwriting-engine,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,underwriting-engine,staging,risk-scoring,50.88,31.5,16.96,21.81,121.15,0
2026-09-13,Mon,underwriting-engine,dev,risk-scoring,38.16,23.62,12.72,16.36,90.86,0
2026-09-13,Mon,credit-bureau-connector,prod,risk-scoring,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,kyc-document-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,kyc-document-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
2026-09-13,Mon,kyc-document-service,dev,lending-core,38.16,23.62,12.72,16.36,90.86,0
2026-09-13,Mon,payment-gateway-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,disbursement-engine,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,disbursement-engine,staging,payments,50.88,31.5,16.96,21.81,121.15,0
2026-09-13,Mon,collections-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,ledger-accounting-service,prod,payments,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,analytics-batch-pipeline,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,feature-store-ml,prod,data-eng,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,notification-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,auth-identity-service,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-13,Mon,api-gateway-mesh,prod,platform,165.38,102.38,55.13,70.88,393.77,0
2026-09-14,Tue,loan-application-service,prod,lending-core,190.18,117.73,63.39,81.51,452.81,19932
2026-09-14,Tue,loan-application-service,staging,lending-core,58.52,36.23,19.51,25.08,139.34,0
2026-09-14,Tue,loan-application-service,dev,lending-core,43.89,27.17,14.63,18.81,104.5,0
2026-09-14,Tue,underwriting-engine,prod,risk-scoring,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,underwriting-engine,staging,risk-scoring,58.52,36.23,19.51,25.08,139.34,0
2026-09-14,Tue,underwriting-engine,dev,risk-scoring,43.89,27.17,14.63,18.81,104.5,0
2026-09-14,Tue,credit-bureau-connector,prod,risk-scoring,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,kyc-document-service,prod,lending-core,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,kyc-document-service,staging,lending-core,58.52,36.23,19.51,25.08,139.34,0
2026-09-14,Tue,kyc-document-service,dev,lending-core,43.89,27.17,14.63,18.81,104.5,0
2026-09-14,Tue,payment-gateway-service,prod,payments,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,disbursement-engine,prod,payments,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,disbursement-engine,staging,payments,58.52,36.23,19.51,25.08,139.34,0
2026-09-14,Tue,collections-service,prod,lending-core,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,ledger-accounting-service,prod,payments,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,analytics-batch-pipeline,prod,data-eng,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,feature-store-ml,prod,data-eng,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,notification-service,prod,platform,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,auth-identity-service,prod,platform,190.18,117.73,63.39,81.51,452.81,0
2026-09-14,Tue,api-gateway-mesh,prod,platform,190.18,117.73,63.39,81.51,452.81,0
2026-09-15,Wed,loan-application-service,prod,lending-core,190.18,117.73,63.39,81.51,452.81,19932
2026-09-15,Wed,loan-application-service,staging,lending-core,58.52,36.23,19.51,25.08,139.34,0
2026-09-15,Wed,loan-application-service,dev,lending-core,43.89,27.17,14.63,18.81,104.5,0
